City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
okandja,,,12/31/69,,,,,
cherskiy,0,RU,03/22/19,68,68.75,161.3,7.43,2.95
egvekinot,64,RU,03/22/19,77,66.32,-179.17,3.65,14.25
kaeo,92,NZ,03/22/19,69,-35.1,173.78,72,7
saint paul,1,US,03/22/19,75,44.95,-93.1,36,3.18
trat,20,TH,03/22/19,63,12.25,102.51,96.01,3.36
beringovskiy,76,RU,03/22/19,90,63.05,179.32,7.43,29.01
desaguadero,0,PE,03/22/19,91,-16.56,-69.04,38.3,3.4
arman,88,RU,03/22/19,77,59.7,150.17,23.9,11.9
palana,0,RU,03/22/19,61,59.08,159.95,28.85,12.46
abu samrah,36,SY,03/22/19,89,35.3,37.18,48.92,4.74
makakilo city,1,US,03/22/19,53,21.35,-158.09,78.8,8.05
buariki,,,12/31/69,,,,,
buala,36,SB,03/22/19,91,-8.15,159.59,84.29,3.85
tura,36,IN,03/22/19,81,25.52,90.21,69.08,4.29
kashi,,,12/31/69,,,,,
margate,75,AU,03/22/19,77,-43.03,147.26,68,9.17
praya,75,ID,03/22/19,70,-8.71,116.27,89.6,12.75
verkh-usugli,20,RU,03/22/19,50,52.7,115.17,23.54,5.41
port lincoln,88,AU,03/22/19,81,-34.72,135.86,71.51,8.21
tiksi,12,RU,03/22/19,70,71.64,128.87,12.74,4.41
papara,75,BR,03/22/19,83,-3.98,-38.73,81,5.82
murshidabad,0,IN,03/22/19,51,24.17,88.27,80.78,4.63
lodja,56,CD,03/22/19,98,-3.52,23.6,69.62,2.95
sao filipe,44,CV,03/22/19,100,14.9,-24.5,69.35,14.14
elizabeth city,1,US,03/22/19,52,36.3,-76.22,48.2,12.75
clyde river,75,CA,03/22/19,75,70.47,-68.59,-18.41,12.75
taksimo,64,RU,03/22/19,66,56.36,114.84,16.7,2.73
slantsy,20,RU,03/22/19,73,59.12,28.09,19.31,4.63
cockburn town,32,TC,03/22/19,100,21.46,-71.14,78.26,6.08
buenos aires,0,AR,03/22/19,68,-34.61,-58.44,66.2,8.05
dudinka,32,RU,03/22/19,77,69.41,86.18,-0.68,4.63
provideniya,92,RU,03/22/19,100,64.42,-173.23,15.62,13.02
longyearbyen,75,NO,03/22/19,79,78.22,15.63,21.2,3.36
sao jose da coroa grande,8,BR,03/22/19,94,-8.9,-35.15,77.9,7.54
virginia beach,1,US,03/22/19,49,36.85,-75.98,46.99,10.29
vondrozo,92,MG,03/22/19,99,-22.82,47.32,69.8,5.19
karaul,,,12/31/69,,,,,
hualmay,0,PE,03/22/19,91,-11.1,-77.61,67.28,4.29
santa rosalia,0,IT,03/22/19,81,38.07,13.27,55.99,1.12
caravelas,100,BR,03/22/19,100,-17.73,-39.27,79.43,20.29
aklavik,90,CA,03/22/19,66,68.22,-135.01,15.8,10.29
kralendijk,68,BQ,03/22/19,78,12.15,-68.27,78.8,14.99
solnechnyy,0,RU,03/22/19,62,50.72,136.64,18.95,3.74
khandyga,0,RU,03/22/19,51,62.65,135.58,4.55,3.4
hameenlinna,90,FI,03/22/19,74,61,24.46,39,16.11
hofn,44,IS,03/22/19,100,64.25,-15.21,36.68,25.43
bam,12,IR,03/22/19,77,29.11,58.36,41.18,2.95
mbini,88,GQ,03/22/19,100,1.58,9.62,74.57,4.41
banda aceh,12,ID,03/22/19,70,5.56,95.32,85.91,2.73
sumbe,48,AO,03/22/19,100,-11.2,13.84,79.79,2.73
linfen,20,CN,03/22/19,49,36.09,111.52,45.77,2.95
balsas,92,BR,03/22/19,95,-7.53,-46.04,72.5,3.18
dapaong,48,TG,03/22/19,69,10.86,0.2,76.55,6.64
kapuskasing,5,CA,03/22/19,77,49.42,-82.43,3.2,3.36
axim,24,GH,03/22/19,97,4.87,-2.24,83.21,9.66
sabha,8,LY,03/22/19,45,27.03,14.43,51.35,6.64
akhisar,0,TR,03/22/19,81,38.92,27.84,32,5.82
pakaur,0,IN,03/22/19,58,24.64,87.92,79.7,4.18
strelka,44,RU,03/22/19,85,58.08,93.03,26.42,3.29
serebryansk,0,KZ,03/22/19,70,49.68,83.3,29.39,2.28
jumla,0,NP,03/22/19,71,29.28,82.18,29.75,1.95
vestmannaeyjar,0,IS,03/22/19,92,63.44,-20.27,36.95,30.91
valle de allende,0,MX,03/22/19,16,26.94,-105.39,60.08,11.79
qasigiannguit,0,GL,03/22/19,57,68.82,-51.19,-11.21,4.7
fallon,1,US,03/22/19,86,46.84,-105.12,37.4,6.93
bani,0,PH,03/22/19,64,15.89,120.27,85.55,2.28
mpwapwa,20,TZ,03/22/19,94,-6.35,36.49,59.81,2.39
hudson,90,US,03/22/19,75,40.07,-104.64,42.8,17.72
maldonado,20,UY,03/22/19,93,-34.91,-54.96,59,2.24
bengkulu,,,12/31/69,,,,,
kloulklubed,75,PW,03/22/19,66,7.04,134.26,86,10.29
presidencia roque saenz pena,0,AR,03/22/19,64,-26.79,-60.44,64.31,7.99
rawannawi,,,12/31/69,,,,,
merauke,12,ID,03/22/19,91,-8.49,140.4,86.09,9.78
kedrovyy,0,RU,03/22/19,47,56.17,91.82,37.4,4.47
ilulissat,0,GL,03/22/19,57,69.22,-51.1,-11.21,4.7
constanta,0,RO,03/22/19,81,44.18,28.65,43,9.17
sekoma,0,BW,03/22/19,35,-24.51,23.93,64.85,14.25
baykalsk,8,RU,03/22/19,74,51.52,104.15,35.6,5.75
nieuw nickerie,100,SR,03/22/19,100,5.94,-56.99,78.08,12.8
myitkyina,0,MM,03/22/19,83,25.38,97.4,70.97,2.95
sobolevo,88,RU,03/22/19,74,54.43,31.9,32.63,19.95
athieme,,,12/31/69,,,,,
iquitos,75,PE,03/22/19,94,-3.75,-73.25,75.2,3.36
narsaq,44,GL,03/22/19,79,60.91,-46.05,26.6,16.11
toguchin,68,RU,03/22/19,93,55.24,84.4,22.55,5.97
isiolo,20,KE,03/22/19,77,0.35,37.58,66.38,3.85
brae,88,GB,03/22/19,80,60.4,-1.35,41,34.45
udachnyy,44,RU,03/22/19,56,66.42,112.4,1.58,7.99
khatanga,12,RU,03/22/19,79,71.98,102.47,-12.56,9.66
kendari,20,ID,03/22/19,88,-3.99,122.52,85.64,3.74
balakhta,24,RU,03/22/19,72,55.38,91.62,32.63,3.29
balgazyn,0,RU,03/22/19,70,51,95.2,29.03,3.51
port blair,20,IN,03/22/19,55,11.67,92.75,87.8,4.7
hovd,20,NO,03/22/19,87,63.83,10.7,41,31.09
avera,1,US,03/22/19,43,33.19,-82.53,60.8,8.43
ulladulla,40,AU,03/22/19,65,-35.36,150.48,78.8,9.17
mananjary,0,MG,03/22/19,96,-19.16,46.8,60.44,2.95
pandan,8,PH,03/22/19,96,11.72,122.09,80.96,14.25
manoel urbano,76,BR,03/22/19,94,-8.84,-69.26,74.3,1.83
tazovskiy,80,RU,03/22/19,92,67.47,78.7,21.92,9.55
wampusirpi,,,12/31/69,,,,,
namatanai,24,PG,03/22/19,100,-3.66,152.44,83.03,0.6
saint anthony,90,US,03/22/19,86,43.97,-111.68,39.2,3.85
vao,48,EE,03/22/19,83,59.1,26.19,25.61,8.32
labutta,,,12/31/69,,,,,
ossora,80,RU,03/22/19,96,59.24,163.07,26.15,15.48
klyuchi,0,RU,03/22/19,84,52.25,79.17,28.67,3.74
awjilah,0,LY,03/22/19,66,29.14,21.3,63.05,7.65
soure,0,PT,03/22/19,87,40.06,-8.63,57,3.36
tubuala,20,PA,03/22/19,69,9.52,-79.03,82,5.82
sisimiut,0,GL,03/22/19,61,66.94,-53.67,-34.88,2.73
punta alta,0,AR,03/22/19,72,-27.46,-55.82,68,3.36
byron bay,0,AU,03/22/19,66,-28.65,153.62,93.99,16.11
mairana,88,BO,03/22/19,95,-18.12,-63.96,58.28,2.39
zmievka,,,12/31/69,,,,,
shahrud,8,IR,03/22/19,67,36.42,54.97,13.73,2.73
kieta,56,PG,03/22/19,94,-6.22,155.63,83.21,3.96
moerai,88,PF,03/22/19,99,-22.43,-151.33,79.7,13.02
sabaudia,0,IT,03/22/19,66,41.3,13.03,55,5.82
bronnoysund,88,NO,03/22/19,80,65.46,12.2,39.2,33.33
svarstad,8,NO,03/22/19,100,59.4,9.97,43,12.75
bondo,80,CD,03/22/19,86,3.81,23.69,76.28,2.39
natal,20,BR,03/22/19,94,-5.81,-35.21,78.8,3.36
cairns,75,AU,03/22/19,74,-16.92,145.77,86,10.29
hami,0,CN,03/22/19,53,42.84,93.51,43.7,5.19
ahumada,,,12/31/69,,,,,
berlevag,68,NO,03/22/19,100,70.86,29.09,31.37,21.74
eldoret,0,KE,03/22/19,93,0.52,35.27,48.92,3.4
havelock,1,US,03/22/19,37,34.88,-76.9,55.4,25.28
eskil,0,TR,03/22/19,78,38.4,33.41,32.72,2.28
vila,0,IT,03/22/19,69,45.18,8.4,51.01,8.05
stephenville,1,US,03/22/19,42,32.22,-98.2,68,16.11
kirundo,8,BI,03/22/19,88,-2.59,30.09,58.64,2.73
aripuana,20,BR,03/22/19,94,-9.17,-60.63,77,2.06
saint-denis,90,FR,03/22/19,93,48.94,2.36,44.01,5.82
ise,75,JP,03/22/19,45,34.5,136.72,54,17.22
maragheh,40,IR,03/22/19,69,37.39,46.24,37.4,6.93
haines junction,24,CA,03/22/19,60,60.75,-137.51,40.37,2.06
lewistown,1,US,03/22/19,70,40.39,-90.15,39.2,6.87
visnes,76,NO,03/22/19,70,59.36,5.22,43,25.28
palanga,0,RO,03/22/19,24,44.45,25.08,48,2.17
umm kaddadah,0,SD,03/22/19,23,13.6,26.69,65.12,5.3
ostrovnoy,64,RU,03/22/19,83,68.05,39.51,20.66,19.06
masvingo,48,ZW,03/22/19,96,-20.08,30.83,63.77,11.23
soweto,12,ZA,03/22/19,82,-26.22,27.89,61,2.24
fremont,90,US,03/22/19,87,37.55,-121.99,55.99,6.93
ercis,20,TR,03/22/19,85,39.03,43.36,28,5.82
vila velha,75,BR,03/22/19,83,-3.71,-38.6,81,5.82
aykhal,56,RU,03/22/19,65,65.95,111.51,1.49,12.8
belyy yar,0,RU,03/22/19,21,53.6,91.39,41,9.55
port macquarie,0,AU,03/22/19,58,-31.43,152.91,89.01,9.17
pervomayskiy,92,RU,03/22/19,96,53.24,40.29,31.82,15.14
satrikh,0,IN,03/22/19,40,26.86,81.19,73.4,12.75
ormara,68,PK,03/22/19,94,25.21,64.64,71.6,8.77
manama,40,AE,03/22/19,47,25.33,56.02,78.01,8.05
northam,92,GB,03/22/19,81,51.04,-4.21,48.99,3.36
gryazi,92,RU,03/22/19,95,52.5,39.96,32.18,12.91
ixtapa,0,MX,03/22/19,89,20.71,-105.21,73.99,1.83
puerto colombia,75,CO,03/22/19,83,10.99,-74.96,78.8,11.41
batemans bay,56,AU,03/22/19,61,-35.71,150.18,77,1.99
usinsk,92,RU,03/22/19,93,66,57.56,23.72,9.44
duxbury,90,US,03/22/19,86,42.04,-70.67,41,10.29
torrington,90,US,03/22/19,100,42.06,-104.18,44.6,8.05
laguna,0,MX,03/22/19,29,27.52,-110.01,69.17,4.63
jerico,1,US,03/22/19,37,37.17,-92.67,54,3.36
mayskiy,92,RU,03/22/19,100,43.63,44.06,39.2,2.24
calvinia,76,ZA,03/22/19,63,-31.47,19.78,51.62,3.74
kushiro,75,JP,03/22/19,54,43.11,144.15,30.2,16.11
karratha,92,AU,03/22/19,63,-20.74,116.85,86.72,31.59
emba,20,CY,03/22/19,58,34.81,32.42,55.4,4.7
charleston,90,US,03/22/19,51,38.35,-81.63,43,5.82
vangaindrano,92,MG,03/22/19,100,-23.35,47.6,67.82,3.18
bud,80,NO,03/22/19,75,62.91,6.91,41,32.21
pontes e lacerda,0,BR,03/22/19,88,-15.23,-59.33,74.48,4.41
salina,1,US,03/22/19,53,36.29,-95.15,57.99,5.82
tlahualilo,,,12/31/69,,,,,
da lat,8,VN,03/22/19,68,11.95,108.44,77.72,2.84
mao,20,DO,03/22/19,83,19.55,-71.08,77,4.7
kegayli,,,12/31/69,,,,,
hun,75,BE,03/22/19,87,50.34,4.87,46.4,2.24
troitsko-pechorsk,80,RU,03/22/19,86,62.71,56.19,23.45,3.85
mbala,48,ZM,03/22/19,96,-8.85,31.37,60.17,4.18
tari,0,NG,03/22/19,23,12.41,4.49,78.17,11.45
dandong,0,CN,03/22/19,44,40.12,124.37,40.1,10.78
hamilton,20,CA,03/22/19,63,43.26,-79.87,30,17.22
americus,1,US,03/22/19,46,32.07,-84.23,55,4.7
norman wells,90,CA,03/22/19,73,65.28,-126.83,23,10.29
novyy urengoy,76,RU,03/22/19,92,66.08,76.63,21.02,7.43
gejiu,0,CN,03/22/19,49,23.36,103.16,80.01,2.95
rawson,56,AR,03/22/19,53,-43.3,-65.11,61.52,10
kotaparh,0,IN,03/22/19,63,19.15,82.35,78.17,4.41
angicos,68,BR,03/22/19,95,-5.67,-36.6,73.4,2.73
nizwa,0,OM,03/22/19,83,22.93,57.53,58.46,3.51
atambua,0,ID,03/22/19,90,-9.11,124.89,84.83,11.68
ostersund,32,SE,03/22/19,73,63.18,14.64,39.2,3.36
inhambane,8,MZ,03/22/19,100,-23.87,35.38,74.57,8.77
pangnirtung,32,CA,03/22/19,54,66.15,-65.72,-19.4,5.75
ippy,0,CF,03/22/19,59,6.26,21.2,78.89,9.44
inverness,40,GB,03/22/19,86,57.48,-4.23,39.2,20.8
lolua,,,12/31/69,,,,,
cabinda,80,AO,03/22/19,100,-5.56,12.19,77.18,4.85
nirmali,0,IN,03/22/19,23,26.31,86.57,79.16,4.18
lagos,20,NG,03/22/19,83,6.46,3.39,78.8,2.24
biak,44,ID,03/22/19,81,-0.91,122.88,85.55,2.62
ahipara,68,NZ,03/22/19,73,-35.17,173.16,73.04,5.08
zwedru,24,LR,03/22/19,91,6.07,-8.13,72.86,4.18
omsukchan,36,RU,03/22/19,80,62.53,155.8,18.68,6.2
jhinjhak,0,IN,03/22/19,35,26.58,79.75,71.15,9.22
muros,0,ES,03/22/19,80,42.77,-9.06,55,3.36
itoman,90,JP,03/22/19,68,26.12,127.67,71.6,12.75
lushunkou,,,12/31/69,,,,,
katsuura,75,JP,03/22/19,46,33.93,134.5,50,13.87
salvador,75,BR,03/22/19,94,-12.98,-38.48,78.8,10.29
aflu,,,12/31/69,,,,,
itarema,44,BR,03/22/19,100,-2.92,-39.92,74.21,2.17
tianpeng,92,CN,03/22/19,100,28.88,112.34,50.63,8.77
nome,1,US,03/22/19,82,30.04,-94.42,64,4.7
galveston,1,US,03/22/19,79,40.58,-86.19,32,8.05
shenjiamen,0,CN,03/22/19,91,29.96,122.3,52.52,12.46
greensburg,1,US,03/22/19,81,30.83,-90.67,59,2.73
san jose,0,PH,03/22/19,58,15.79,120.99,84.38,3.18
richards bay,80,ZA,03/22/19,99,-28.77,32.06,67.1,2.17
qujing,32,CN,03/22/19,45,25.49,103.8,63.5,10.45
lovozero,80,RU,03/22/19,75,68.01,35.02,22.73,10.78
samalaeulu,,,12/31/69,,,,,
kruisfontein,32,ZA,03/22/19,86,-34,24.73,64.85,8.43
huarmey,8,PE,03/22/19,79,-10.07,-78.15,65.57,3.18
bonavista,92,CA,03/22/19,89,48.65,-53.11,33.01,5.99
port hueneme,1,US,03/22/19,71,34.15,-119.2,57.2,12.24
zabalj,0,RS,03/22/19,74,45.37,20.06,39.99,1.12
dawson creek,1,CA,03/22/19,80,55.76,-120.23,44.6,4.7
devils lake,1,US,03/22/19,92,48.11,-98.87,26.6,6.93
kodinsk,0,RU,03/22/19,65,58.6,99.18,30.83,6.87
powell river,90,CA,03/22/19,100,49.84,-124.52,53.01,2.24
vanimo,48,PG,03/22/19,99,-2.67,141.3,83.03,11.56
araouane,88,ML,03/22/19,21,18.9,-3.53,69.8,10.22
krasnoyarka,90,RU,03/22/19,92,55.33,73.1,24.8,2.24
creel,0,MX,03/22/19,30,27.75,-107.63,45.68,4.07
palauig,0,PH,03/22/19,64,15.44,119.9,85.55,2.28
kalmunai,0,LK,03/22/19,84,7.42,81.82,82.94,4.18
padang,20,ID,03/22/19,66,-0.92,100.36,87.8,3.36
altay,0,CN,03/22/19,55,47.83,88.13,19.13,2.73
isangel,75,VU,03/22/19,70,-19.55,169.27,87.8,16.11
sarab,76,IR,03/22/19,96,38.61,44.99,28.85,1.95
henties bay,0,,03/22/19,90,-22.12,14.28,61,5.01
shenxian,0,CN,03/22/19,30,36.24,115.67,51.08,16.6
nemuro,40,JP,03/22/19,46,43.32,145.57,28.4,11.41
itapecerica da serra,75,BR,03/22/19,82,-23.72,-46.85,70,8.05
seoul,90,KR,03/22/19,93,37.57,126.98,46.4,9.17
along,92,IN,03/22/19,96,28.17,94.8,54.32,1.95
abu kamal,92,SY,03/22/19,92,34.45,40.92,50.27,7.65
emerald,0,AU,03/22/19,43,-23.53,148.16,91,13.87
payo,64,ID,03/22/19,98,-3.75,103.64,77.99,4.41
soto la marina,68,MX,03/22/19,71,23.77,-98.21,69.98,12.68
cartagena,0,ES,03/22/19,72,37.63,-1,59,11.41
limbang,75,BN,03/22/19,59,4.75,115.01,89.6,2.24
rancho palos verdes,1,US,03/22/19,67,33.75,-118.37,60.01,3.36
waiouru,76,NZ,03/22/19,71,-39.48,175.67,66.11,4.29
tursunzoda,90,UZ,03/22/19,81,38.51,68.23,50,8.95
sivas,0,TR,03/22/19,85,39.75,37.01,23,3.36
cangzhou,0,CN,03/22/19,50,38.3,116.85,45.77,12.01
bushehr,40,IR,03/22/19,63,28.97,50.84,64.4,6.93
roma,0,IT,03/22/19,70,41.89,12.48,54,4.7
mackenzie,75,CA,03/22/19,64,55.34,-123.09,37.4,4.7
alice springs,0,AU,03/22/19,15,-23.7,133.88,102.2,11.41
sao joao da barra,92,BR,03/22/19,97,-21.64,-41.05,79.88,14.25
nuuk,48,GL,03/22/19,71,64.17,-51.74,3.2,13.87
jamsa,75,FI,03/22/19,59,61.86,25.19,37,17.22
weligama,0,LK,03/22/19,93,5.97,80.42,82.22,4.41
jining,0,CN,03/22/19,31,35.41,116.58,53.87,14.81
lasa,20,CY,03/22/19,58,34.92,32.53,55.4,4.7
cabimas,32,VE,03/22/19,93,10.39,-71.44,80.69,9.78
dolinsk,75,RU,03/22/19,49,47.32,142.8,23,13.42
ofunato,75,JP,03/22/19,56,39.11,141.75,41,8.05
kutum,0,SD,03/22/19,30,14.2,24.66,60.08,7.87
sao miguel do araguaia,20,BR,03/22/19,95,-13.28,-50.16,74.39,4.18
petropavlovsk-kamchatskiy,40,RU,03/22/19,64,53.05,158.65,33.8,11.18
tacuarembo,0,UY,03/22/19,87,-31.73,-55.98,51.62,3.4
fortuna,20,ES,03/22/19,66,38.18,-1.13,59,1.12
ust-nera,32,RU,03/22/19,75,64.57,143.24,4.82,2.17
goderich,0,CA,03/22/19,78,43.74,-81.71,33.01,20.07
nadadores,48,MX,03/22/19,60,27.03,-101.59,71.01,1.99
solone,0,UA,03/22/19,64,48.2,34.88,35.6,20.13
shalakusha,80,RU,03/22/19,92,62.23,40.26,27.59,2.73
chilca,75,PE,03/22/19,81,-13.22,-72.34,51.8,3.36
norden,90,DE,03/22/19,100,53.59,7.21,44.01,4.7
klamath falls,90,US,03/22/19,86,42.22,-121.78,41,3.36
puerto cortes,,,12/31/69,,,,,
zemio,8,CF,03/22/19,83,5.02,25.13,70.07,2.28
santa barbara,1,US,03/22/19,87,34.42,-119.7,57.2,4.7
macaboboni,,,12/31/69,,,,,
bara,88,NG,03/22/19,47,10.41,10.6,78.98,5.86
joetsu,76,JP,03/22/19,100,37.15,138.24,40.1,7.31
mehamn,88,NO,03/22/19,87,71.03,27.85,31.91,20.96
tutoia,88,BR,03/22/19,97,-2.76,-42.27,76.1,3.4
kiama,40,AU,03/22/19,65,-34.67,150.86,80.01,9.17
fare,32,PF,03/22/19,96,-16.7,-151.02,85.37,7.87
dourbali,0,TD,03/22/19,65,11.81,15.86,73.58,2.95
husavik,0,CA,03/22/19,79,50.56,-96.99,30.99,4
kazerun,12,IR,03/22/19,74,29.62,51.65,44.87,2.17
itanagar,75,IN,03/22/19,88,27.1,93.63,66.2,4.7
bhola,40,PK,03/22/19,63,32.66,73.89,62.6,6.93
mackay,1,CA,03/22/19,45,53.65,-115.58,46.4,2.24
